module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails Web Experience,grw-setup,Installa Guardrails Web Experience,GS,"Registra Guardrails, le due figure, le stanze tematiche di party mode e le voci di help. Non crea la memoria condivisa.",configure,[-H],anytime,,grw-profile:profile,true,{project-root}/_bmad,"sezione grl nel config, roster, bmad-party-mode.toml e voci in module-help.csv"
Guardrails Web Experience,grw-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte e due le figure, criticità inclusa.",profile,,1-analysis,grw-setup:configure,,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails Web Experience,grw-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,grw-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails Web Experience,grw-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,grw-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails Web Experience,grw-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,grw-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails Web Experience,grl-agent-ui-critic,Iris — critica di design,GI,"Perché una pagina sembra generata, e la deviazione concreta che le ridà un'identità visiva.",consult,,anytime,grw-profile:profile,,false,,"tic riconosciuti, direzioni visive, gerarchia e densità, coerenza del sistema"
Guardrails Web Experience,grl-agent-seo,Nora — SEO e sistemi di ricerca,SO,"Dalla domanda alla pagina trovabile: verifica sempre live le regole SEO, poi diagnosi di crawl e indicizzazione, architettura, contenuti, dati strutturati, migrazioni e misura senza promesse di ranking.",consult,,anytime,grw-profile:profile,,false,,"verifica live obbligatoria, intent e architettura, audit tecnico, content brief, dati strutturati, migrazioni e hreflang, Search Console, misurazione"
Guardrails Web Experience,grl-web,Crea una landing o un sito,GW,"Dal brief di conversione — destinatario, promessa, obiezione, prova, azione — al mockup HTML a file singolo.",create,,anytime,grw-profile:profile,,false,{project-root}/_bmad-output/web,"brief.md e la pagina .html nella cartella del lavoro"
Guardrails Web Experience,grl-web,Riprendi un mockup,GM,"Rientra su una pagina già fatta, applica il cambiamento e segnala se contraddice una decisione già registrata.",update,[path],anytime,grl-web:create,,false,{project-root}/_bmad-output/web,"brief.md e pagina aggiornati"
Guardrails Web Experience,grl-web,Diagnostica una pagina,GD,"Perché una pagina che esiste già non converte: il brief ricostruito all'indietro e da tre a cinque mosse concrete.",diagnose,[url|path],anytime,,,false,,"verdetto in conversazione"
Guardrails Web Experience,grl-web,Promuovi a progetto,GC,"Dal mockup approvato al sito vero: Tailwind da CLI standalone, SEO, form, accessibilità, pronto per il deploy.",promote,[path],anytime,grl-web:create,grl-agent-ops:consult,false,{project-root}/_bmad-output/web,"progetto statico con sorgenti e CSS generato"
Guardrails Web Experience,grl-web,Configura un sito vero,GF,"Prepara la scheda di un sito con parti condivise, contenuti che cambiano e animazioni; la scheda può poi passare a bmad-spec per essere trasformata in fette per bmad-build.",configure-site,,anytime,grw-profile:profile,,false,{project-root}/_bmad-output/web,"sito.md e stack.md nella cartella del lavoro"
